#          chi2            h           OmegaM           OmegaK               Acceptrate
        38.7904        0.746797        0.490606        -0.80037                4.75444%
        38.5529        0.743687        0.451463       -0.709772                4.76025%
        38.3377        0.747915        0.405245       -0.660516                4.77431%
        40.7766        0.750806        0.441898       -0.662835                4.78917%
        36.9753         0.75152        0.420905       -0.676999                4.80486%
        37.2588        0.751454        0.390912       -0.628736                4.81969%
        37.0077        0.750956        0.392683       -0.623025                4.83117%
        37.0711        0.749174        0.420616       -0.641351                4.84681%
        36.7564        0.746055        0.438711       -0.665445                4.86243%
        36.7458         0.74709        0.441939       -0.689214                4.87047%
        41.1028        0.741771        0.427993       -0.672829                4.88521%
        38.5213        0.739043        0.438157       -0.633221                4.90078%
        41.1525        0.742707        0.460678       -0.631976                4.91718%
        39.5564        0.737379        0.459911       -0.647175                4.93359%
        41.4091        0.736651        0.476493       -0.635495                4.94146%
        43.4262        0.731892        0.479976       -0.633131                4.95612%
         46.855        0.728868        0.456193       -0.603791                4.96393%
        44.0123        0.730086        0.470281       -0.605592                4.9794%
        45.7895        0.729946        0.455844       -0.610156                4.99485%
        44.5204        0.735391        0.505783       -0.674966                5.00944%
        45.4494        0.733688        0.472992       -0.684003                5.02487%
        44.7989        0.733371        0.505716        -0.67156                5.04115%
        42.6617        0.743362        0.468555       -0.643798                5.05483%
        40.8359        0.732071        0.406604       -0.522768                5.07023%
        38.4998        0.739076         0.44639       -0.606289                5.08301%
        40.8345        0.747587        0.450879       -0.652243                5.0975%
        39.3899        0.752094        0.451166       -0.707284                5.10936%
        37.7953        0.754362        0.415217       -0.698407                5.12558%
        38.8974        0.752631        0.431999       -0.751358                5.13915%
         41.785        0.740838        0.512668       -0.757559                5.15007%
        39.7181        0.749101        0.474596       -0.729456                5.16624%
        37.3519        0.747397        0.458992       -0.737261                5.17623%
        37.1347        0.746808        0.455922       -0.712707                5.19237%
        37.2284        0.745142        0.443002       -0.690575                5.20231%
        36.6122        0.748891        0.423953       -0.658748                5.21843%
        36.6615        0.746602        0.412788       -0.642751                5.22122%
        36.6518        0.749088        0.409134       -0.649697                5.23729%
        36.4468        0.748784        0.400186       -0.616017                5.2418%
        39.1485        0.746304         0.47312       -0.709928                5.25693%
        40.6337        0.751872        0.382501       -0.655285                5.26582%
        37.4017        0.747432        0.427392       -0.633148                5.28092%
        36.8168        0.747745        0.408148       -0.603899                5.296%
         36.234        0.745747         0.40508       -0.610013                5.3075%
        37.1427        0.742351        0.425843       -0.633136                5.31897%
        36.8208        0.742707        0.424903       -0.600899                5.33311%
        38.2791        0.740959        0.436999       -0.592833                5.34903%
        39.9015        0.741398        0.450931        -0.61057                5.36405%
        38.7099        0.744652        0.366795       -0.559935                5.37996%
        36.6232        0.747978        0.369041       -0.539141                5.39586%
        37.6521        0.749058        0.392512       -0.573097                5.40178%
        39.1086         0.74048        0.384112       -0.563028                5.41311%
        41.1411        0.744203        0.358414       -0.556123                5.42441%
        39.0301        0.739503        0.356574       -0.498987                5.44024%
        38.7188        0.737091        0.409619        -0.49308                5.45059%
         38.321         0.73448         0.39256       -0.503653                5.46457%
        35.9432        0.743564        0.356613       -0.485198                5.47579%
        37.1735        0.737683        0.412493       -0.549514                5.49065%
        36.6291        0.742835        0.425581       -0.613915                5.50459%
        36.3184        0.744871        0.407794        -0.61096                5.51943%
         39.908        0.752136        0.408494       -0.614581                5.52781%
        39.1758        0.747156        0.394384       -0.540807                5.54261%
        36.7396        0.750002        0.418628       -0.656666                5.55648%
         37.562          0.7487        0.377689       -0.597433                5.57219%
        37.4767        0.747326        0.387438       -0.546254                5.57954%
        44.2992        0.756976        0.331509       -0.502717                5.59336%
        43.0887        0.746527        0.368122       -0.454768                5.60438%
        37.2291        0.737802        0.336987        -0.42665                5.62003%
         35.862        0.739014        0.354109        -0.44643                5.63194%
        36.4909        0.743752        0.334862       -0.453455                5.63264%
        36.5559        0.746105         0.34694       -0.490001                5.64356%
        36.0815        0.745435        0.377465       -0.535417                5.64888%
        42.3654        0.743074        0.344928       -0.525834                5.65232%
        39.4632        0.746631        0.324674       -0.484179                5.66782%
        37.1447        0.747587        0.388307        -0.55564                5.68144%
        38.1958        0.750084        0.384801       -0.563137                5.68946%
        37.8297         0.74835        0.350818        -0.48597                5.69185%
        37.2272        0.741324        0.371568       -0.457542                5.70355%
        38.8787        0.730781        0.388211       -0.451724                5.71895%
         39.307        0.734571        0.374388       -0.485334                5.73248%
        36.5301        0.737802         0.38882       -0.484803                5.74131%
        40.2627        0.741664        0.416837       -0.529946                5.75575%
        37.1883        0.741882        0.400669       -0.527024                5.76359%
        36.3273         0.74007        0.386451       -0.527922                5.77424%
        36.3983        0.739111        0.387033        -0.48987                5.7858%
         36.781        0.737922        0.381167       -0.504385                5.80016%
        37.0377        0.738719        0.350608        -0.46024                5.81452%
        38.5825        0.734069        0.389801        -0.49755                5.82698%
        40.4151        0.737571        0.361747       -0.501387                5.84131%
        38.8597         0.73598        0.347773       -0.446649                5.85659%
        37.7349        0.738883        0.354166       -0.392902                5.8709%
        35.9334        0.739809        0.338863       -0.399442                5.88521%
        36.4733        0.742264        0.316484        -0.39938                5.88711%
        36.4736         0.74026        0.337123       -0.437435                5.8909%
        36.2268        0.743879        0.337192       -0.443643                5.90323%
        38.2933        0.747312        0.307849       -0.402665                5.91363%
        37.4511        0.742814        0.291329        -0.35555                5.92784%
        35.9287        0.738038        0.331913       -0.395729                5.93725%
        38.1622        0.731917        0.331555       -0.365789                5.95238%
        37.2085        0.741046        0.326977       -0.431698                5.96367%
        36.1055        0.737515        0.330714       -0.393314                5.97494%
        36.7207        0.735359        0.380263       -0.447122                5.99004%
        36.3803         0.74425        0.333579       -0.443902                6.00321%
        36.3389        0.743495        0.327423       -0.420168                6.01443%
        35.8351        0.739087        0.324215       -0.369661                6.01696%
        39.4789        0.746776        0.286304       -0.384114                6.02911%
        38.7037        0.741121        0.267456       -0.307018                6.04413%
        41.1332        0.736906        0.246953       -0.254418                6.05625%
         40.432        0.742602        0.277545       -0.261423                6.07126%
        37.0988        0.742941          0.2951       -0.352384                6.08626%
        36.6285        0.741393        0.297612       -0.345901                6.10029%
        37.9901        0.732461        0.330716       -0.368474                6.11138%
        37.9853        0.742899        0.323453       -0.445287                6.11757%
        39.8012        0.739985        0.305908       -0.401318                6.13057%
        35.9805        0.737967        0.305468       -0.335222                6.14552%
        38.6922        0.741888        0.327409       -0.359228                6.14969%
        36.0039        0.739843         0.33594       -0.391985                6.16166%
        36.2851        0.739383        0.336056       -0.380731                6.17558%
        36.2236        0.741305        0.328358       -0.389002                6.18949%
        36.1796        0.738779        0.326263       -0.396378                6.2034%
        36.2921        0.738898        0.295609       -0.325053                6.21729%
        38.1931        0.724175        0.324615       -0.234691                6.22722%
        36.5807        0.732826          0.2973       -0.237223                6.24208%
        35.9964        0.731191        0.278259       -0.209252                6.25594%
        36.8465        0.736022        0.268352       -0.253769                6.26681%
        36.3821        0.736395        0.288942       -0.260436                6.26479%
        36.1672        0.729966        0.287645       -0.207366                6.27562%
        37.2017        0.728576        0.290955       -0.179322                6.28842%
        41.8871        0.732191        0.275271       -0.136414                6.3012%
        38.8182         0.72362        0.250506       -0.122329                6.31596%
         40.772        0.725181        0.267035      -0.0619606                6.32971%
        37.3734        0.722017        0.220934      -0.0235936                6.34446%
        38.0733        0.722268        0.226703        0.019255                6.3532%
        37.6575        0.724913        0.213316       0.0161019                6.36592%
        39.9203        0.733536        0.164362      0.00517065                6.37063%
        40.1298        0.730981        0.155214       0.0228261                6.38331%
        37.2647        0.724512        0.209544       0.0196446                6.39498%
        39.1885        0.725597        0.171891       0.0237219                6.40464%
        38.6594        0.728471        0.157387       0.0565401                6.41427%
        38.5092        0.728261         0.16204       0.0449284                6.41786%
        37.4159        0.723476        0.168196       0.0865783                6.43147%
        37.5553        0.723954        0.188035       0.0235163                6.44607%
        36.8315        0.725172        0.217858      -0.0126271                6.45664%
        37.3408        0.730883        0.203738      -0.0492502                6.4682%
        38.6749        0.723493        0.197702      -0.0104021                6.47874%
        37.5316        0.729135        0.203486      -0.0145612                6.48825%
        37.2855        0.727756        0.217786      -0.0267131                6.5028%
         38.373        0.727835        0.213416     -0.00357438                6.51228%
        37.0136        0.722025        0.225736      -0.0223118                6.52377%
        37.3237         0.72268        0.252971      -0.0918309                6.53625%
        37.1935        0.727598        0.213455      -0.0628069                6.54771%
        37.1739        0.727362        0.237303       -0.115182                6.55509%
        37.5212        0.729378         0.25212        -0.17242                6.56855%
        39.8841        0.730478        0.232763       -0.163205                6.57895%
        37.5424        0.732101        0.258313       -0.140389                6.59137%
        36.5673        0.733248        0.274464       -0.242424                6.60275%
        36.7007        0.734749        0.288233       -0.288731                6.61208%
        39.1607         0.72634         0.33744       -0.316282                6.62139%
        38.8833        0.725712        0.344118       -0.311114                6.63171%
        41.4654        0.726674        0.393504       -0.360229                6.63281%
        38.6316        0.739851        0.330648       -0.345416                6.64309%
        39.8675        0.743541        0.298841       -0.314351                6.6554%
         38.349        0.739289        0.300317       -0.371501                6.66564%
        40.6111        0.748997        0.307086       -0.388999                6.67076%
        37.9916        0.739821        0.306757       -0.386348                6.68302%
        36.9609        0.742349        0.301741       -0.372528                6.69732%
        40.8716        0.748938        0.292158       -0.363475                6.70956%
        40.3035        0.732402        0.352684       -0.311057                6.71767%
         38.148        0.733915        0.315796        -0.35632                6.72783%
        37.3962        0.735478        0.318535       -0.369158                6.74209%
        36.3829        0.736707        0.374347       -0.445065                6.75222%
        36.4976        0.731125        0.334563       -0.327539                6.7582%
        36.1713        0.737759        0.327893       -0.391149                6.76932%
        36.3989          0.7378        0.361778       -0.419505                6.77631%
        36.4155        0.739557        0.330646       -0.369414                6.78843%
        35.8387        0.739015        0.351522         -0.4217                6.79951%
        39.5294        0.746754        0.324867       -0.400831                6.80437%
        36.4887        0.736731          0.3465         -0.4243                6.81749%
        36.0714        0.741393        0.321952       -0.389376                6.82542%
        37.8491        0.734128        0.326105       -0.375947                6.83644%
        40.7637        0.727269        0.389888        -0.42683                6.84848%
        38.8132        0.730517        0.354388       -0.396606                6.8626%
         37.147        0.740288        0.328383       -0.361271                6.86942%
        37.5204        0.730973         0.37096       -0.391699                6.87935%
        37.0499        0.731381        0.350027       -0.372641                6.89342%
        37.2525        0.734389        0.339156       -0.396813                6.89811%
        35.9752        0.737703        0.316098       -0.359684                6.90695%
        36.7108        0.739428        0.291704       -0.329312                6.91786%
        37.8604        0.734492        0.309443       -0.259409                6.92771%
        38.1609        0.741953        0.260445       -0.269596                6.93964%
        37.3443        0.737812         0.25556       -0.238089                6.95155%
        35.9714        0.732855        0.292706       -0.244828                6.95404%
        38.1524        0.724351        0.325355       -0.236511                6.96801%
        37.4566        0.725473        0.310683       -0.228519                6.97256%
        36.1173        0.730278        0.272565       -0.195507                6.97709%
        42.8356        0.732353        0.298869       -0.179448                6.99102%
        39.1603        0.727901        0.276869       -0.225598                7.00284%
        40.3273          0.7223        0.332497       -0.262753                7.01361%
        38.7477        0.734556        0.312724       -0.257931                7.02436%
        38.0307        0.730367        0.270227       -0.226541                7.0288%
        37.0527        0.735437        0.294035       -0.312677                7.03952%
         38.401        0.730355        0.335492       -0.275323                7.05339%
        39.4103        0.728879        0.379827       -0.362676                7.06619%
        38.1833        0.739054        0.307554       -0.384373                7.07372%
        38.2777        0.737879        0.298342        -0.35576                7.08755%
        43.2089        0.739394         0.29327       -0.389998                7.10138%
        42.4153         0.73862        0.313697       -0.424005                7.11415%
        36.2439        0.734514        0.352231       -0.382451                7.12586%
        36.7136        0.734316        0.372588       -0.436871                7.12589%
        37.3818        0.736933        0.394454       -0.474198                7.13862%
        41.6301        0.734733        0.415521       -0.461684                7.13546%
        38.6732        0.737383        0.431747       -0.553101                7.14814%
        37.7057        0.736269         0.41709       -0.533136                7.15976%
        36.6917        0.745652        0.365826       -0.497917                7.16925%
         36.658        0.738525        0.371591       -0.442416                7.17767%
        38.7747        0.734353        0.381008       -0.404985                7.18925%
        35.8466        0.738574        0.326821       -0.367204                7.20083%
        35.9938        0.733927        0.326719       -0.341938                7.21239%
        38.0936        0.745024        0.327351       -0.400186                7.21968%
        38.0787        0.744742        0.287395        -0.35641                7.21634%
        37.0584        0.732802        0.301191       -0.237277                7.22679%
        37.5481        0.733972         0.24687       -0.199146                7.24042%
        36.8035        0.732248        0.237424       -0.148627                7.2381%
        37.0598        0.732911        0.247524       -0.137515                7.24956%
        36.9733        0.730674        0.215373       -0.069315                7.26102%
        36.8446        0.723612        0.215123      -0.0163331                7.2523%
        36.6054         0.72443        0.230493      -0.0459307                7.25208%
        37.3283        0.728274        0.196174     0.000539741                7.24659%
         37.113        0.724483        0.206182       0.0222858                7.259%
        36.7367        0.724347        0.209238     -0.00152304                7.26719%
